nct_id,name,city,country
NCT05949190,Nyandehun Malen,Nyandehun,Sierra Leone
NCT05949190,Potoru,Potoru,Sierra Leone
NCT05949190,Pujehun Static,Pujehun,Sierra Leone
NCT06056609,York & Scarborough Teaching Hospitals NHS Foundation Trust,York,United Kingdom
NCT05949190,Sahn Malen,Sahn,Sierra Leone
NCT06046456,Mental Health Services in The Capital Region of Denmark,Copenhagen,Denmark
NCT05949190,Zimmi,Zimmi,Sierra Leone
NCT01660165,Centro Municipal de Saúde Heitor Beltrão,Rio de Janeiro,Brazil
NCT01658098,Hospital Universitario Dr Jose E. Gonzalez,Monterrey,Mexico
NCT02454322,Northwestern Memorial Hospital,Chicago,United States
NCT03593473,University of North Carolina School of Medicine,Chapel Hill,United States
NCT03809572,Oregon Health and Science University,Portland,United States
NCT05894681,Eskisehir Osmangazi University,Eskişehir,Turkey
NCT04950868,Parkwood Institute,London,Canada
NCT05217251,Zhujiang Hospital,Guanzhou,China
NCT05295069,AtaturkU,Erzurum,Turkey
NCT03285139,Kids Can Fly,Brantford,Canada
NCT06070168,Ondokuz Mayis University,Samsun,Turkey
NCT04820920,Nottingham Trent University,Nottingham,United Kingdom
NCT04847362,Zeynep Kamil Women's and Children's Diseases Training and Research Hospital,İstanbul,Turkey
NCT06070168,Ondokuz Mayis University,Samsun,Turkey
NCT02818075,University of Toronto,Toronto,Canada
NCT04847362,Saglık Bilimleri Universitesi,Istanbul,Turkey
NCT05268588,Indraprastha Institute for Information Technology,New Delhi,India
NCT05268588,Post-Graduate Institute for Medical Education and Research,Chandigarh,India
NCT05268588,Sangath,Bhopal,India
NCT01935375,Drexel University,Phila,United States
NCT03615794,550 North Broadway,Baltimore,United States
NCT03615794,University of Virginia,Charlottesville,United States
NCT05830266,Tilburg University,Tilburg,Netherlands
NCT01967394,Three Rivers,Carrollton,United States
NCT02769858,University of Michigan,Ann Arbor,United States
NCT04368208,Bertrand GACHON,Poitiers,France
NCT01967394,"Hands Program of Kenton County (Young Families of Children, Inc)",Covington,United States
NCT01967394,Hands Program of Boone and Campbell Counties (Every Child Succeeds),Newport,United States
NCT01967394,Three Rivers Health Department,Owensboro,United States
NCT01967394,Lake Cumberland Health Department,Somerset,United States
NCT01967394,Lincoln Trail Health Department,Elizabethtown,United States
NCT01967394,St. Joseph Hospital,Lexington,United States
NCT01967394,University of Louisville Hospital,Louisville,United States
NCT04396509,Pinar Yalcin Bahat,Istanbul,Turkey
NCT01977326,Michael Mapongwana Clinic,Cape Town,South Africa
NCT01977326,Site B Clinic,Cape Town,South Africa
NCT00961402,University of Minnesota,Minneapolis,United States
NCT04639752,National Institute of Mental Health,Klecany,Czechia
NCT03703219,NMP Medical Reserach Institute,Jaipur,India
NCT04211467,ProgenaBiome,Ventura,United States
NCT00001481,National Institutes of Health Clinical Center,Bethesda,United States
NCT02710474,Morgan Stanley Children's Hospital of New York (MSCHONY),New York,United States
NCT02710474,University Texas Health Science Center San Antonio (UTHSCSA),San Antonio,United States
NCT05700760,Michigan State University,Flint,United States
NCT00816725,"University of California, San Francisco",San Francisco,United States
NCT02867631,Maternity Care Coalition,Philadelphia,United States
NCT02010840,The University of Hong Kong,Hong Kong,Hong Kong
NCT05595486,Northwestern Medicine Prentice Women's Hospital,Chicago,United States
NCT05595486,Women and Infant's Hospital,Providence,United States
NCT05664529,Marmara University School of Medicine,Istanbul,Turkey
NCT04693585,Post Graduate Institute for Medical Education and Research,Chandigarh,India
NCT05852314,Benazir Bhutto Hospital,Rawalpindi,Pakistan
NCT05269732,McMaster University,Hamilton,Canada
NCT05662423,Massachusetts General Hospital,Boston,United States
NCT02059863,Sangath: Haryana field site,Porvorim,India
NCT02059863,Human Development Research Foundation: Rawalpindi field site,Islamabad,Pakistan
NCT04852757,Groupe Hospitalier Paris Saint Joseph,Paris,France
